fechadelaconsulta,actproy,ano_eje,nivel_gobierno,sector,pliego,categoria_pptal,ejecutora,c_costo,act_op,POI_aprobado,PIA,POI_consistente_PIA,PIM,POI modificado,DEV,ejecutado,POI/PIA
Fri Apr 25 15:39:02 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101111-453: 0290566 - VIGILANCIA Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,"1,320,000",0,"3,000,000",0,"3,004,440",0,0.0,0.0
Fri Apr 25 15:39:02 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101490-453: PATRULLAJES RUTINARIOS,0,0,0,0,"14,906",0,0.0,0.0
Fri Apr 25 15:39:02 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101491-453: PATRULLAJE ESPECIAL,0,0,0,0,"19,519",0,0.0,0.0
Fri Apr 25 15:39:03 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101492-453: PATRULLAJE CON VIGILANCIA COMUNAL,0,0,0,0,"153,421",0,0.0,0.0
Fri Apr 25 15:39:03 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101493-453: MONITOREO DE ESTADO DE CONSERVACION DE ECOSISTEMAS,0,0,0,0,0,0,0.0,0.0
Fri Apr 25 15:39:03 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101494-453: REALIZACIÓN DE TALLERES DE EDUCACIÓN AMBIENTAL EN INSTITUCIONES EDUCATIVAS Y/O UNIVERSIDADES.,0,0,0,0,490,0,0.0,0.0
Fri Apr 25 15:39:03 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,"AOI00086101496-453: ORGANIZACIÓN DE REUNIONES DEL COMITÉ DE GESTIÓN (COMISIÓN EJECUTIVA, GRUPOS DE INTERÉS, OTROS)",0,0,0,0,"8,711",0,0.0,0.0
Fri Apr 25 15:39:04 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101497-453: ORGANIZACIÓN DE LA ASAMBLEA ANUAL DEL COMITÉ DE GESTIÓN DEL ANP,0,0,0,0,0,0,0.0,0.0
Fri Apr 25 15:39:04 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,"AOI00086101560-453: DIAGNOSTICO DEL POTENCIAL DEL APROVECHAMIENTO DE RECURSOS FORESTALES, FLORA Y FAUNA SILVESTRE EN ÁREAS NATURALES PROTEGIDAS EN LAS ACR CTT Y ANPCH",0,0,0,0,0,0,0.0,0.0
Fri Apr 25 15:39:04 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,"AOI00086101561-453: FORTALECIMIENTO PARA LA ELABORACION Y APROBACIÓN DE INSTRUMENTOS DE PLANIFICACIÓN PARA EL OTORGAMIENTO DE DERECHOS PARA EL APROVECHAMIENTO DE RECURSOS FORESTALES, FLORA Y FAUNA SILVESTRE EN ANP DE ADMINISTRACION NACIONAL EN LAS ACR CTT Y ANPCH.",0,0,0,0,0,0,0.0,0.0
Fri Apr 25 15:39:04 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,"AOI00086101562-453: ASESORAMIENTO Y ASISTENCIA TÉCNICA PARA EL OTORGAMIENTO DE DERECHO PARA EL APROVECHAMIENTO DE RECURSOS FORESTALES, FLORA Y FAUNA SILVESTRE EN EL ANP",0,0,0,0,0,0,0.0,0.0
Fri Apr 25 15:39:05 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101563-453: ELABORACIÓN Y APROBACION DE PROTOCOLOS DE MONITOREO PARA ESPECIES BAJO APROVECHAMIENTO EN LAS ACR CTT Y ANPCH,0,0,0,0,"40,000",0,0.0,0.0
Fri Apr 25 15:39:05 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101564-453: ELABORACIÓN/ IMPLEMENTACIÓN PROGRESIVA DE LOS INSTRUMENTOS DE PLANIFICACIÓN PARA EL APROVECHAMIENTO SOSTENIBLE DEL RECURSO NATURAL PAISAJE EN EL ACR CTT Y ANPCH,0,0,0,0,"82,000",0,0.0,0.0
Fri Apr 25 15:39:05 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101565-453: IMPLEMENTACIÓN DE MECANISMOS DE PARTICIPACIÓN EN ÁREAS NATURALES PROTEGIDAS (ACUERDOS DE CONSERVACIÓN),0,0,0,0,0,0,0.0,0.0
Fri Apr 25 15:39:05 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02: SUB GERENCIA REGIONAL DE CONSERVACIÓN Y DIVERSIDAD BIOLÓGICA,AOI00086101566-453: ORGANIZACIÓN DE REUNIONES DE LA COMISIÓN EJECUTIVA DEL COMITÉ DE GESTIÓN,0,0,0,0,"12,956",0,0.0,0.0
Fri Apr 25 15:39:07 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101778-453: GESTIÓN DEL PROGRAMA,0,0,0,0,"204,425",0,0.0,0.0
Fri Apr 25 15:39:08 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101780-453: OPERACIÓN Y MANTENIMIENTO DE INFRAESTRUCTURA,0,0,0,0,"185,290",0,0.0,0.0
Fri Apr 25 15:39:08 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101782-453: VIGILANCIA Y CONTROL PARA LA PROTECCION DE ÁREAS NATURALES,0,0,0,0,"132,713",0,0.0,0.0
Fri Apr 25 15:39:08 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101786-453: OTORGAMIENTO Y RENOVACION DE DERECHOS PARA EL APROVECHAMIENTO DE RECURSOS RENOVABLES EN AREAS NATURALES PROTEGIDAS,0,0,0,0,"99,886",0,0.0,0.0
Fri Apr 25 15:39:09 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101795-453: OTORGAMIENTO Y RENOVACION DE DERECHOS PARA EL APROVECHAMIENTO DEL RECURSO PAISAJE EN AREAS NATURALES PROTEGIDAS,0,0,0,0,"41,000",0,0.0,0.0
Fri Apr 25 15:39:09 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101802-453: MECANISMOS E INSTRUMENTOS DE GESTION PARTICIPATIVA DE RECURSOS NATURALES IMPLEMENTADOS,0,0,0,0,"10,580",0,0.0,0.0
Fri Apr 25 15:39:09 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.01: ACR COMUNAL TAMSHIYACU TAHUAYO - CTT,AOI00086101806-453: DESARROLLO DE ESPACIOS PARTICIPATIVOS PARA LA CONSERVACION DE LOS RECURSOS NATURALES,0,0,0,0,"21,938",0,0.0,0.0
Fri Apr 25 15:39:11 2025,ActProy,2024,Nivel de Gobierno R: GOBIERNOS REGIONALES,Gob.Reg.Mancom. 99: GOBIERNOS REGIONALES,Pliego 453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,Categoría Presupuestal 0057: CONSERVACION DE LA DIVERSIDAD BIOLOGICA Y APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES EN AREA NATURAL PROTEGIDA,Unidad Ejecutora 000861: REGION LORETO-SEDE CENTRAL,Centro de Costo 861-07.04.02.02: ACR ALTO NANAY PINTUYACU CHAMBIRA - ANPCH,AOI00086101809-453: GESTIÓN DEL PROGRAMA,0,0,0,0,"151,495",0,0.0,0.0
